invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
S30560800002,2016-02-03,4057,Tequila's Liquor Store,1434 DES MOINES ST STE 5,DES MOINES,50316,POINT (-93.59704 41.594713),77,Polk,1052100.0,,420.0,"Moet Hennessy USA, Inc.",48099,Hennessy VS,24,200,5.74,8.61,48,413.28,9.6,2.54
S30703100053,2016-02-15,3494,Sam's Club 6514 / Waterloo,210 EAST TOWER PARK DR,WATERLOO,50702,POINT (-92.353103 42.456374),7,Black Hawk,1081700.0,DISTILLED SPIRITS SPECIALTY,421.0,"Sazerac Co., Inc.",77487,Tortilla Gold Dss,12,1000,4.51,6.77,768,5199.36,768.0,202.88
INV-16653400110,2018-12-31,2643,Hy-Vee Wine and Spirits / Waterloo,2126 Kimball Ave,Waterloo,50701,,7,BLACK HAWK,1081500.0,Triple Sec,65,Jim Beam Brands,86112,Dekuyper Triple Sec,12,1000,2.33,3.5,2,7.0,2.0,0.52
INV-17055600010,2019-01-22,2843,CVS Pharmacy #8526 / Cedar Rapids,4116 Center Pointe Rd,Cedar Rapids,52402,POINT (-91.665139 42.020729),57,LINN,1062100.0,Gold Rum,434,LUXCO INC,45246,Paramount Gold Rum,12,750,4.0,6.0,7,42.0,5.25,1.38
INV-00002300008,2016-08-29,5244,The Ox & Wren Spirits and Gifts,708 2nd  AVE  SE,Cresco,52136,POINT (-92.106529 43.371131),45,HOWARD,1031000.0,American Vodka,297,Laird & Company,35917,Five O'clock Vodka,12,1000,4.17,6.26,2,75.12,2.0,0.52
INV-26642700001,2020-04-17,5236,"Giggle Juice Liquor Station, LLC",600 W Main St,Anamosa,52205.0,POINT (-91.29083400000002 42.108203),53,JONES,1092100.0,Imported Distilled Spirit Specialty,421,SAZERAC COMPANY  INC,77487,Tortilla Gold DSS,12,1000,4.85,7.28,60,436.8,60.0,15.85
INV-24116900112,2019-12-23,2670,Hy-Vee Food Store / Coralville,2004 8th  St,Coralville,52241.0,POINT (-91.591868 41.682337000000004),52,JOHNSON,1092100.0,Imported Distilled Spirit Specialty,353,"John Ernest Distillery, Inc.",65750,Maestro Agavero Gold,12,1000,7.0,10.5,48,504.0,48.0,12.68
INV-44363100014,2022-02-02,5298,DeWitt Travel Mart,"630, 6th Ave",DeWitt,52742.0,POINT (-90.538952 41.821779),23,CLINTON,1091300,Neutral Grain Spirits Flavored,384,PIEDMONT DISTILLERS INC,76069,Midnight Moon Apple Pie Mini,4,50,17.16,25.74,4,102.96,0.2,0.05
S14178600031,2013-10-14,4098,Wal-Mart 1475 / Washington,2485 HWY 92,WASHINGTON,52353,POINT (-91.660194 41.296202),92,Washington,1701100.0,DECANTERS & SPECIALTY PACKAGES,421,"Sazerac Co., Inc.",76436,Old St. Nick''s Egg Nog,12,750,3.64,5.46,120,655.2,90.0,23.78
S29111400017,2015-11-17,2565,Hy-Vee Food Store / Spencer,819 N GRAND AVE,SPENCER,51301,POINT (-95.14506 43.145897),21,Clay,1081330.0,PEACH SCHNAPPS,65,Jim Beam Brands,82847,Dekuyper Peachtree,12,1000,7.62,11.43,5,57.15,5.0,1.32
S07550700025,2012-09-05,3385,Sam's Club 8162 / Cedar Rapids,2605 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT (-91.67969 42.031819),57,Linn,1081400.0,TRIPLE SEC,434,Luxco-St Louis,86507,Paramount Triple Sec,12,1000,3.75,5.62,96,539.52,96.0,25.36
INV-31954700002,2020-11-16,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,50320.0,POINT (-93.596754 41.554101),77,POLK,1901200.0,Special Order Items,370,PERNOD RICARD USA,902150,Hiram Walker Blue Curacao,12,750,4.0,6.0,36,216.0,27.0,7.13
INV-08495400086,2017-11-07,4167,"Iowa Street Market, Inc.",1256 Iowa St,Dubuque,52001,POINT (-90.668138 42.504959),31,DUBUQUE,1081100.0,Coffee Liqueurs,65,Jim Beam Brands,67557,Kamora Coffee Liqueur,12,1000,8.39,12.59,4,50.36,4.0,1.06
INV-08632500071,2017-11-14,3385,Sam's Club 8162 / Cedar Rapids,2605 Blairs Ferry Rd NE,Cedar Rapids,52402,POINT (-91.67969 42.031819),57,LINN,1081500.0,Triple Sec,55,SAZERAC NORTH AMERICA,86390,Montezuma Triple Sec,12,1000,2.13,3.2,216,691.2,216.0,57.06
INV-28352300005,2020-06-29,5292,John's Qwik Stop,"814, C Ave",Vinton,52349.0,POINT (-92.027865 42.163119),6,BENTON,1062100.0,Gold Rum,35,BACARDI USA INC,43038,Bacardi Gold,6,1750,15.0,22.5,3,67.5,5.25,1.38
INV-33910800023,2021-01-29,2644,Hy-Vee Fort Dodge Wine and Spirits,1511 2nd Ave North,Fort Dodge,50501.0,POINT (-94.177165 42.508344),94,WEBSTER,1700000,Temporary &  Specialty Packages,260.0,DIAGEO AMERICAS,101217,Captain Morgan OSR PET 6/1.75l  w/ 50ml CM Sliced Apple,6,1750,18.0,27.0,156,4212.0,273.0,72.11
S30234800064,2016-01-15,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT (-93.613739 41.60572),77,Polk,1081400.0,TRIPLE SEC,434.0,Luxco-St Louis,86251,Juarez Triple Sec,12,1000,2.42,3.63,60,217.8,60.0,15.85
S13771300075,2013-08-07,3354,Sam's Club 8238 / Davenport,3845 ELMORE AVE.,DAVENPORT,52807,POINT (-90.527081 41.559731),82,Scott,1031100.0,100 PROOF VODKA,300,Mccormick Distilling Company,36887,McCormick Vodka,12,1000,4.13,6.2,204,1264.8,204.0,53.89
S21330500108,2014-09-22,2560,Hy-Vee Food Store / Marion,3600 BUSINESS HWY 151 EAST,MARION,52302,,57,Linn,1041200.0,AMERICAN SLOE GINS,434,Luxco-St Louis,33717,Paramount Sloe Gin,12,1000,5.17,7.76,4,31.04,4.0,1.06
